Student_ID,Python_Level,SQL_Level,Java_Level,Preferred_Internship,Internship_Mode,Availability_Hours_Per_Week,Recommended_Internship_1,Recommended_Internship_2,Recommended_Internship_3,Improvement_1,Improvement_2,Improvement_3
1,Advanced,Beginner,Beginner,Software Testing Intern,Onsite,12,Software Testing Intern,Software Testing Intern,Software Testing Intern,Learn basic data structures,Strengthen problem-solving skills,Work on real-world mini projects
2,Advanced,Beginner,Advanced,Cybersecurity Intern,Remote,5,Cybersecurity Intern,Cloud Computing Intern,Cloud Computing Intern,Work on real-world mini projects,Learn basic data structures,Explore basic machine learning concepts
3,Beginner,Advanced,Beginner,Software Testing Intern,Hybrid,27,Software Testing Intern,Cybersecurity Intern,Cloud Computing Intern,Explore basic machine learning concepts,Learn version control using Git,Learn basic data structures
4,Intermediate,Beginner,Beginner,Software Testing Intern,Onsite,15,Software Testing Intern,Digital Marketing Intern,Data Analytics Intern,Improve communication skills,Strengthen problem-solving skills,Learn basic data structures
5,Beginner,Beginner,Intermediate,Web Development Intern,Onsite,16,Web Development Intern,Software Testing Intern,Cybersecurity Intern,Improve time management,Improve communication skills,Improve Python fundamentals
6,Advanced,Beginner,Intermediate,Web Development Intern,Hybrid,14,Web Development Intern,Software Testing Intern,Web Development Intern,Improve time management,Practice SQL queries,Learn basic data structures
7,Beginner,Advanced,Beginner,Digital Marketing Intern,Onsite,7,Digital Marketing Intern,Data Analytics Intern,Cybersecurity Intern,Learn basic data structures,Work on real-world mini projects,Learn version control using Git
8,Advanced,Intermediate,Beginner,Data Analytics Intern,Onsite,11,Data Analytics Intern,Cloud Computing Intern,Software Testing Intern,Improve communication skills,Work on real-world mini projects,Strengthen problem-solving skills
9,Beginner,Beginner,Intermediate,Cybersecurity Intern,Onsite,25,Cybersecurity Intern,Digital Marketing Intern,Digital Marketing Intern,Explore basic machine learning concepts,Learn basic data structures,Practice SQL queries
10,Beginner,Beginner,Beginner,Digital Marketing Intern,Onsite,17,Digital Marketing Intern,Cloud Computing Intern,Software Testing Intern,Improve communication skills,Work on real-world mini projects,Learn basic data structures
11,Intermediate,Beginner,Advanced,Cybersecurity Intern,Onsite,25,Cybersecurity Intern,AI/ML Intern,AI/ML Intern,Enhance logical thinking,Strengthen problem-solving skills,Improve communication skills
12,Advanced,Advanced,Advanced,Data Analytics Intern,Hybrid,23,Data Analytics Intern,AI/ML Intern,AI/ML Intern,Learn version control using Git,Improve time management,Practice SQL queries
13,Advanced,Intermediate,Beginner,Digital Marketing Intern,Remote,8,Digital Marketing Intern,Cloud Computing Intern,Web Development Intern,Strengthen problem-solving skills,Improve time management,Learn version control using Git
14,Intermediate,Intermediate,Advanced,Cybersecurity Intern,Hybrid,13,Cybersecurity Intern,Software Testing Intern,Cloud Computing Intern,Explore basic machine learning concepts,Improve Python fundamentals,Work on real-world mini projects
